"","score","review","writer","time"
"1",10,"시각적으로 너무 아름답습니다. 진짜 파리에 있는 듯한 기분이었어요  ","우밀규(matt****)","2019.05.29 16:35"
"2",10,"좋아요.너무좋았어요프랑스 파리 딜리리 ...이렇게좋은영화는 상영관좀많이주세요...  ","거북이(kim9****)","2019.06.02 13:30"
"3",10,"파리 가본 사람들이 보면 그때 기억이 떠오르는 듯.. 파리 모습에 빠지고 충격적인 이야기에 놀라고 아름다운 마음에 감동하고.  ","디기디기당당(atul****)","2019.05.31 14:11"
"4",10,"관람객미셸 오슬로님 영화를 드디어 영화관에서 봤습니다.영화에 담긴 주제,스토리,영상미,음악 모두 황홀했습니다! 딜릴리의 귀여운 모습과 엔딩크레딧의 노랫소리가 영화를 다보고 나서도 아른거립니다.  ","ellie(elli****)","2019.05.29 22:00"
"5",10,"관람객상영관이 얼마 없는 것이 아쉽습니다. 전달하고자 하는 내용이 아름다움과 대비되는 느낌이 들었습니다. 영화에 대해 더 찾아봐야겠어요. 영상미는 더할나위없이 좋았습니다. 스포일러가 될까 더는 말하진 않겠지만 딜릴리의 대사가 영원히 제 기억속에 남을거예요.  ","야미(z_br****)","2019.06.01 17:36"
"6",10,"이 시대에태어나 미셀오슬로의 작품을본다는건경이로운경험! 이토록 품격있고 아름답고 재미있고 감동깊고 멋진 애니메이션이라니!!소장각입니다! 평점10점보다 더주고싶어요!!  ","Rasa0312(epon****)","2019.06.03 19:17"
"7",10,"정말 미쳤습니다!! 인생 에니매이션!! 소장각 !! 스토리 영상미 할것 없이 다 너무 좋았습니다 상영관 늘려주세여 ㅠㅠ  ","려(klj6****)","2019.05.30 12:49"
"8",10,"이토록 아름답고도 아름다운 그리고 다이아몬드처럼 빛나는 예술의 극치를 보여준 무비와 아트를 못 알아보는 현대인들의 문화의식이 안타까울뿐.!  ","Ah(pmk9****)","2019.06.07 00:03"
"9",10,"관람객말로 표현 못하는 따뜻함을 주는 영화, 파리를 사랑하는 저에게는 큰 선물 같았습니다  ","소희(jpes****)","2019.06.02 17:18"
"10",10,"관람객딜릴리를 따라서 로트렉, 드가, 피카소, 모네, 르누아르, 로댕 등 당대 최고의 명사가 숨쉬던 벨 에포크 시대를 감상할 수 있다. 동시에 '여아 납치사건'이라는 한 사건을 관통하며 인종 차별, 여성 인권 등의 주제를 무겁지 않게 풀어낸다.  ","한상화(sang****)","2019.06.13 09:20"
"11",10,"너무 예뻐서 보러 갔다가 생각보다 깊이 있는 내용이라 깜짝 놀람! 벨 에포크 파리도 넘 예뿌고, 인권에 관한 메시지까지 있음.  ","SYODISSI(auda****)","2019.06.03 11:38"
"12",10,"프랑스 파리의 예술가의 삶이 새로운 스토리와 함께 이해됬습니다. 늘 단조로운 일상 속에서 들릴리와 함께하는 모험을 신나고 박진감 넘치게 변화되었습니다. 아름다운 파리의 야경과 건축물을 볼 수 있고 고급스러운 프랑스 어를 들음으로서 풍요로운시간이었습니다  ","이하늘님(hane****)","2019.06.01 14:35"
"13",10,"아름다운 광경들, 예쁜 색채들 잊을 수 없을듯 해요  ","seoj****","2019.05.30 13:14"
"14",10,"관람객파리를 여행한 듯 하다  딜릴리 넘귀여워  ","소영(bein****)","2019.06.07 07:50"
"15",10,"마치 파리여행을 하는 듯한 멋지고 생동적인 영상미가 가득 담겨져 있었습니다. 영화 내용과 의미도 허전하지 않고 꽉차서 지루하지 않았어요.  ","오와아(dmsw****)","2019.06.06 22:15"
"16",10,"영상미, 그리고 완결성 있는 스토리까지.  ","gks6****","2019.06.01 22:18"
"17",10,"가끔 인생은 정말 멋진 걸 주기도 해요~영화에 빠져들고 파리를 구석구석 함께 다닌듯해요..벨에포크시대의 거장들을 만나기두~~오랫만에. 눈호강했어요.  ","우레우스(urae****)","2019.06.19 01:50"
"18",10,"아름답고 따듯한 꿈 끝에 기분좋게 깬 느낌  ","denva(shy8****)","2019.06.17 14:41"
"19",10,"관람객너무너무 사랑스러운 딜릴리!영화에 대해 모르고 저랑 같이 간 친구가 너무너무 좋은 영화를 봤다고 했습니당!  ","키키(eung****)","2019.06.14 09:41"
"20",10,"이제껏 본 영화 중에 가장 아름답고 귀엽고 멋진 애니메이션.  ","초코케익(rlag****)","2019.06.14 06:22"
