"","score","review","writer","time"
"1","10","보니야... 앤디가 너에게 영원한 파트너를 맡겼는데 그렇게 잊혀지게 두면 어떡하니...ㅠㅠ  ","GILGOO(dlrl****)","2019.06.20 13:51"
"2","10","우디 수고했다.. 새 삶 찾은거 축하하고 꼭 행복해라.  ","주해진(skg0****)","2019.06.20 11:18"
"3","10","처음 앤디 나올때 왜 눈물이 났는지 모르겠음..더이상 앤디의 장난감들이 아니라 보니의 장난감이라는게 아쉽고 나도 앤디가 그리워짐  ","조요초(dvdv****)","2019.06.20 14:15"
"4","10","관람객자,  토이스토리 덕후분들은 손수건을 무조건 준비합니다. 안그러면 소중하게 구매한 토이스토리 팝콘통에 눈물 다 채워갈 지 모르니까요ㅠㅠ 사랑해 토이스토리♥  ","영(seyo****)","2019.06.20 10:36"
"5","10","3편을 잘마무리해서 더이상 안나올줄 알았는데..나왔다..4편..근데 더 잘만들었다..이게 말이되냐  ","에바스(isav****)","2019.06.20 10:34"
"6","10","공대생을 울리는 것은 과제가 아닌 토이스토리였다  ","맨우진(tkeh****)","2019.06.20 11:27"
"7","10","앤디랑 우디랑 다시 만나는걸로 5편 ㄱ  ","음(rlaw****)","2019.06.20 11:36"
"8","10","관람객아니 저 친구들 함께 한 세월이 몇인데 우디를 이렇게 쉽게 보내주냐 버즈 너라도 한번쯤은 매달려보지ㅠㅠㅠㅠ우디 새 삶 찾은 건 좋지만 나만 아쉬운거야???  ","라따또이(thdl****)","2019.06.20 22:11"
"9","10","토이스토리 5 에서는 보니도 어른이 돼서 앤디가 그랬던 것 처럼 앤디의 아이에게 장난감을 선물한다면 최고의 결말일듯 장난감들이 다시 앤디의 품으로 돌아가는 장면을 보고싶음 토이스토리5에서 앤디가 아들이랑 장난감 가지고 노는 장면 나오면 기립박수 친다  ","jys4****","2019.06.21 00:12"
"10","10","관람객토이스토리를 극장에서 만난다는 것 자체가 보면서도 실삼이 나지 않아 심장이 두근두근했다. 나를 이토록 무조건적으로 위해주고 사랑해주는 마음들이 느껴져 자꾸만 영화를 보는내내 주책없이 눈물이 났다  ","스티치(succ****)","2019.06.20 10:08"
"11","10","3보다 재밌는건 아닌거같습니다그래도 기본은했고 재미있었어요 특히 어릴적부터 좋아했던 영화 마지막편을 스크린개봉으로 본다는점이 참 좋았습니다  ","사랑비(love****)","2019.06.20 14:02"
"12","10","영화는 너무 좋았지만 기존 친구들의 비중이 너무 적은점은 아쉬웠음  ","mr01****","2019.06.21 04:59"
"13","10","하.... 5편  기다릴게....  ","dlgl****","2019.06.20 10:08"
"14","10","보니 개짜증남 지가 소중히 대한다고 뺏어가려고 하더니 ㅋㅋ 애새끼가 우디 찬밥취급하는거 볼때마다 눈물나더라 우디최애들이 보면 ㄹㅇ 오열할듯 행복해라 우디야  ","이거어떻게고치지(ksb9****)","2019.06.21 19:31"
"15","10","내 인생에 토이스토리,해리포터,어벤져스 시리즈를 영화관에서 볼 수 있던건 행운이다. 나와 함께 커줘서 고마워 토이스토리3에서 앤디랑 이별할때 뭉클했는데 So long partner..토이스토리4는 더 완벽해ㅠㅠto infinity and beyond!  ","BECLAM(qor2****)","2019.06.20 11:32"
"16","10","안녕, 나의 가장 친한 친구 우디  ","펭도리(dldb****)","2019.06.20 12:39"
"17","10","Yes, I Canada!!!  ","뭉느(iseg****)","2019.06.20 12:28"
"18","10","세상에 모든 앤디와 우디에게, 그리고 길 잃은 장난감들에게 보내는 헌사ㅜㅜㅜ  ","실(ppin****)","2019.06.20 12:45"
"19","10","이 영화 최고의 빌런은 보니임.... 앤디한테서 우디 뺏었음 잘 간수하지ㅠㅠㅠ  ","purp****","2019.06.22 12:37"
"20","10","우디가? 보니를 위해 포키를 쓰레기통이 아닌 보니 옆에서 자려고 노력할 때 보니가? 포키인줄 알고 우디를 앉고 잤을 때...우디 행복한 표정은 잊을 수 없다?..우디야 행복해..  ","yeokyoungg(hana****)","2019.06.22 23:17"
"21","10","한 3년후에 토이스토리5도 만들어주세요ㅠㅠ  ","계란(hwhw****)","2019.06.20 12:19"
